2026-04-29 20:11:55,038 | INFO     | web_app | 收到聊天请求
2026-04-29 20:11:55,039 | INFO     | web_app | 开始执行 ReAct 循环
2026-04-29 20:11:55,057 | INFO     | web_app | ReAct 循环完成
2026-04-29 20:20:51,218 | INFO     | web_app | 日志已清空
2026-04-29 20:20:51,221 | INFO     | web_app | 日志已清空
2026-04-29 20:20:52,655 | INFO     | web_app | 日志已清空
2026-04-29 20:20:52,677 | DEBUG    | test | debug message
2026-04-29 20:20:52,678 | INFO     | test | info message
2026-04-29 20:20:52,678 | WARNING  | test | warning message
2026-04-29 20:20:52,678 | ERROR    | test | error message
2026-04-29 20:24:58,493 | INFO     | web_app | 收到聊天请求
2026-04-29 20:24:58,494 | INFO     | web_app | 开始执行 ReAct 循环
2026-04-29 20:24:58,511 | INFO     | web_app | ReAct 循环完成
