2026-05-01 00:42:31,767 | INFO     | werkzeug |  * Detected change in 'D:\\Anaconda3\\Scripts\\conda-script.py', reloading
2026-05-01 00:42:32,238 | INFO     | werkzeug |  * Detected change in 'D:\\Anaconda3\\Lib\\threading.py', reloading
2026-05-01 00:42:32,239 | INFO     | werkzeug |  * Detected change in 'D:\\Anaconda3\\Lib\\site-packages\\werkzeug\\serving.py', reloading
2026-05-01 00:42:32,241 | INFO     | werkzeug |  * Detected change in 'D:\\Anaconda3\\Lib\\socketserver.py', reloading
2026-05-01 00:42:32,242 | INFO     | werkzeug |  * Detected change in 'D:\\Anaconda3\\Lib\\selectors.py', reloading
2026-05-01 00:42:33,074 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-05-01 00:42:33,526 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-05-01 00:42:35,314 | WARNING  | werkzeug |  * Debugger is active!
2026-05-01 00:42:35,322 | INFO     | werkzeug |  * Debugger PIN: 108-400-749
2026-05-01 00:42:35,716 | WARNING  | werkzeug |  * Debugger is active!
2026-05-01 00:42:35,722 | INFO     | werkzeug |  * Debugger PIN: 108-400-749
2026-05-01 09:49:24,509 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\__init__.py', reloading
2026-05-01 09:49:24,509 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\__init__.py', reloading
2026-05-01 09:49:24,511 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\analyzers\\__init__.py', reloading
2026-05-01 09:49:24,511 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\analyzers\\__init__.py', reloading
2026-05-01 09:49:24,514 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\analyzers\\hero_analyzer.py', reloading
2026-05-01 09:49:24,514 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\analyzers\\hero_analyzer.py', reloading
2026-05-01 09:49:24,520 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\analyzers\\hybrid_hero_analyzer.py', reloading
2026-05-01 09:49:24,520 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\analyzers\\hybrid_hero_analyzer.py', reloading
2026-05-01 09:49:24,522 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\analyzers\\item_recommender.py', reloading
